,playerID,year,tmID,lgID,pos,GP,G,A,Pts,PIM,+/-,PPG,SHG,PostGP,PostG,PostA,PostPts,PostPIM,PostPPG,PostSHG,HOF,name
14731,greenjo01,1999,NYI,NHL,L,49.0,12.0,14.0,26.0,41.0,-7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Josh Green
14784,greenri01,1991,NYI,NHL,D,4.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rick Green
14807,greentr01,1992,NYI,NHL,C,61.0,7.0,18.0,25.0,43.0,4.0,1.0,0.0,12.0,3.0,1.0,4.0,6.0,0.0,0.0,0.0,Travis Green
14808,greentr01,1993,NYI,NHL,C,83.0,18.0,22.0,40.0,44.0,16.0,1.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,Travis Green
14809,greentr01,1994,NYI,NHL,C,42.0,5.0,7.0,12.0,25.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Travis Green
14810,greentr01,1995,NYI,NHL,C,69.0,25.0,45.0,70.0,42.0,-20.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Travis Green
14811,greentr01,1996,NYI,NHL,C,79.0,23.0,41.0,64.0,38.0,-5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Travis Green
14812,greentr01,1997,NYI,NHL,C,54.0,14.0,12.0,26.0,66.0,-19.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Travis Green
14859,greniri01,1972,NYI,NHL,C,10.0,1.0,1.0,2.0,2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Richard Grenier
14920,grievbr01,1993,NYI,NHL,L,3.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brent Grieve
14967,gronsja01,1989,NYI,NHL,D,41.0,3.0,4.0,7.0,27.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,Jari Gronstrand
14968,gronsja01,1990,NYI,NHL,D,3.0,0.0,1.0,1.0,2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jari Gronstrand
15042,guaypa01,1990,NYI,NHL,R,3.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Paul Guay
15076,gueribi01,2007,NYI,NHL,R,81.0,23.0,21.0,44.0,65.0,-15.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bill Guerin
15077,gueribi01,2008,NYI,NHL,R,61.0,16.0,20.0,36.0,63.0,-15.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bill Guerin
15191,haanpar01,1985,NYI,NHL,R,18.0,0.0,7.0,7.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ari Haanpaa
15192,haanpar01,1986,NYI,NHL,R,41.0,6.0,4.0,10.0,17.0,8.0,0.0,0.0,6.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,Ari Haanpaa
15193,haanpar01,1987,NYI,NHL,R,1.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ari Haanpaa
15212,hackeje01,1988,NYI,NHL,G,13.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jeff Hackett
15213,hackeje01,1990,NYI,NHL,G,30.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jeff Hackett
15250,haggese01,1997,NYI,NHL,L,5.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sean Haggerty
15251,haggese01,1999,NYI,NHL,L,5.0,1.0,1.0,2.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sean Haggerty
15361,haleymi01,2009,NYI,NHL,C,2.0,0.0,0.0,0.0,9.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Michael Haley
15362,haleymi01,2010,NYI,NHL,C,27.0,2.0,1.0,3.0,85.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Michael Haley
15363,haleymi01,2011,NYI,NHL,C,14.0,0.0,0.0,0.0,57.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Michael Haley
15380,halkibo01,1995,NYI,NHL,D,5.0,0.0,0.0,0.0,30.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bob Halkidis
15418,halleke01,2000,NYI,NHL,D,30.0,1.0,5.0,6.0,56.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kevin Haller
